   1.00  0.6233E+10  0.1000E+01
   2.00  0.3896E+09  0.1000E+01
   3.00  0.7698E+08  0.1000E+01
   4.00  0.2436E+08  0.9998E+00
   5.00  0.9981E+07  0.9997E+00
   6.00  0.4818E+07  0.1000E+01
   7.00  0.2604E+07  0.1001E+01
   8.00  0.1528E+07  0.1001E+01
   9.00  0.9547E+06  0.1001E+01
  10.00  0.6267E+06  0.1000E+01
  11.00  0.4281E+06  0.9995E+00
  12.00  0.3023E+06  0.9985E+00
  13.00  0.2196E+06  0.9975E+00
  14.00  0.1633E+06  0.9969E+00
  15.00  0.1241E+06  0.9967E+00
  16.00  0.9604E+05  0.9968E+00
  17.00  0.7553E+05  0.9974E+00
  18.00  0.6026E+05  0.9984E+00
  19.00  0.4869E+05  0.9996E+00
  20.00  0.3979E+05  0.1001E+01
  21.00  0.3286E+05  0.1003E+01
  22.00  0.2738E+05  0.1004E+01
  23.00  0.2301E+05  0.1006E+01
  24.00  0.1948E+05  0.1007E+01
  25.00  0.1661E+05  0.1008E+01
  26.00  0.1425E+05  0.1010E+01
  27.00  0.1230E+05  0.1010E+01
  28.00  0.1067E+05  0.1011E+01
  29.00  0.9303E+04  0.1012E+01
  30.00  0.8150E+04  0.1012E+01
  31.00  0.7170E+04  0.1012E+01
  32.00  0.6334E+04  0.1012E+01
  33.00  0.5617E+04  0.1011E+01
  34.00  0.4999E+04  0.1011E+01
  35.00  0.4464E+04  0.1010E+01
  36.00  0.3999E+04  0.1009E+01
  37.00  0.3593E+04  0.1008E+01
  38.00  0.3238E+04  0.1006E+01
  39.00  0.2925E+04  0.1005E+01
  40.00  0.2650E+04  0.1003E+01
  41.00  0.2407E+04  0.1002E+01
  42.00  0.2191E+04  0.9996E+00
  43.00  0.1998E+04  0.9975E+00
  44.00  0.1827E+04  0.9953E+00
  45.00  0.1673E+04  0.9929E+00
  46.00  0.1536E+04  0.9904E+00
  47.00  0.1412E+04  0.9878E+00
  48.00  0.1301E+04  0.9850E+00
  49.00  0.1200E+04  0.9821E+00
  50.00  0.1109E+04  0.9791E+00
  51.00  0.1027E+04  0.9759E+00
  52.00  0.9520E+03  0.9727E+00
  53.00  0.8839E+03  0.9693E+00
  54.00  0.8218E+03  0.9659E+00
  55.00  0.7652E+03  0.9624E+00
  56.00  0.7134E+03  0.9587E+00
  57.00  0.6659E+03  0.9551E+00
  58.00  0.6224E+03  0.9513E+00
  59.00  0.5825E+03  0.9475E+00
  60.00  0.5457E+03  0.9437E+00
  61.00  0.5119E+03  0.9398E+00
  62.00  0.4807E+03  0.9359E+00
  63.00  0.4519E+03  0.9319E+00
  64.00  0.4253E+03  0.9280E+00
  65.00  0.4007E+03  0.9240E+00
  66.00  0.3779E+03  0.9200E+00
  67.00  0.3568E+03  0.9161E+00
  68.00  0.3372E+03  0.9121E+00
  69.00  0.3189E+03  0.9082E+00
  70.00  0.3020E+03  0.9043E+00
  71.00  0.2862E+03  0.9004E+00
  72.00  0.2715E+03  0.8965E+00
  73.00  0.2577E+03  0.8927E+00
  74.00  0.2449E+03  0.8889E+00
  75.00  0.2329E+03  0.8851E+00
  76.00  0.2217E+03  0.8814E+00
  77.00  0.2113E+03  0.8777E+00
  78.00  0.2014E+03  0.8741E+00
  79.00  0.1922E+03  0.8705E+00
  80.00  0.1836E+03  0.8669E+00
  81.00  0.1754E+03  0.8634E+00
  82.00  0.1678E+03  0.8600E+00
  83.00  0.1606E+03  0.8566E+00
  84.00  0.1538E+03  0.8532E+00
  85.00  0.1475E+03  0.8499E+00
  86.00  0.1415E+03  0.8467E+00
  87.00  0.1358E+03  0.8434E+00
  88.00  0.1304E+03  0.8403E+00
  89.00  0.1254E+03  0.8372E+00
  90.00  0.1206E+03  0.8341E+00
  91.00  0.1161E+03  0.8311E+00
  92.00  0.1118E+03  0.8281E+00
  93.00  0.1077E+03  0.8251E+00
  94.00  0.1039E+03  0.8222E+00
  95.00  0.1002E+03  0.8194E+00
  96.00  0.9677E+02  0.8166E+00
  97.00  0.9349E+02  0.8138E+00
  98.00  0.9037E+02  0.8111E+00
  99.00  0.8740E+02  0.8084E+00
 100.00  0.8458E+02  0.8058E+00
 101.00  0.8189E+02  0.8032E+00
 102.00  0.7934E+02  0.8006E+00
 103.00  0.7690E+02  0.7981E+00
 104.00  0.7458E+02  0.7956E+00
 105.00  0.7237E+02  0.7932E+00
 106.00  0.7026E+02  0.7908E+00
 107.00  0.6825E+02  0.7884E+00
 108.00  0.6633E+02  0.7861E+00
 109.00  0.6449E+02  0.7838E+00
 110.00  0.6274E+02  0.7816E+00
 111.00  0.6107E+02  0.7794E+00
 112.00  0.5947E+02  0.7772E+00
 113.00  0.5794E+02  0.7751E+00
 114.00  0.5647E+02  0.7730E+00
 115.00  0.5507E+02  0.7709E+00
 116.00  0.5373E+02  0.7689E+00
 117.00  0.5244E+02  0.7669E+00
 118.00  0.5121E+02  0.7649E+00
 119.00  0.5004E+02  0.7630E+00
 120.00  0.4891E+02  0.7611E+00
 121.00  0.4782E+02  0.7592E+00
 122.00  0.4678E+02  0.7574E+00
 123.00  0.4579E+02  0.7556E+00
 124.00  0.4483E+02  0.7539E+00
 125.00  0.4392E+02  0.7522E+00
 126.00  0.4304E+02  0.7505E+00
 127.00  0.4220E+02  0.7488E+00
 128.00  0.4139E+02  0.7472E+00
 129.00  0.4061E+02  0.7456E+00
 130.00  0.3986E+02  0.7441E+00
 131.00  0.3915E+02  0.7426E+00
 132.00  0.3846E+02  0.7411E+00
 133.00  0.3780E+02  0.7396E+00
