#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
210	13.548	0.308351	2	0	0	0	0
210	13.548	0.308351	6	0	0	0	0
210	13.548	0.308351	10	0	0	0	0
210	13.548	0.308351	14	0	0	0	0
210	13.548	0.308351	18	8.89018469596651	5.13274813421627	0	0
210	13.548	0.308351	22	97.7814483435974	15.4606159233996	7.3336086257698	4.2340589400882
210	13.548	0.308351	26	169.20568368449	18.8006315204989	10.444795289166	4.6710586804491
210	13.548	0.308351	30	223.44040708543	20.2294153477164	21.9777449592226	6.34442552610358
210	13.548	0.308351	34	214.526787591106	18.7432545601069	49.128271967429	8.96956150227203
210	13.548	0.308351	38	184.438503089435	16.5630237996161	35.6977747915035	7.28677853116998
210	13.548	0.308351	42	136.855099277026	13.6855099277026	28.7395708481755	6.27149440844915
210	13.548	0.308351	46	80.2007325485733	10.1043375304947	17.8223850107941	4.76323607853483
210	13.548	0.308351	50	26.299081811225	5.60698815040936	5.97706404800568	2.67302672116481
210	13.548	0.308351	54	4.52766425103756	2.26383212551878	1.13191606275939	1.13191606275939
210	13.548	0.308351	58	6.47892018283214	2.64500836644092	1.07982003047202	1.07982003047202
210	13.548	0.308351	62	4.14855566760781	2.0742778338039	0	0
210	13.548	0.308351	66	2.00480291499699	1.41760616520895	0	0
210	13.548	0.308351	70	1.94901878547147	1.37816092830081	0	0
210	13.548	0.308351	74	1.90528609420072	1.3472373236398	0	0
210	13.548	0.308351	78	0	0	0	0
210	13.548	0.308351	82	0	0	0	0
210	13.548	0.308351	86	0.917975362365351	0.917975362365351	0.917975362365351	0.917975362365351
210	13.548	0.308351	90	0	0	0	0
210	13.548	0.308351	94	0.917975320410722	0.917975320410722	0	0
210	13.548	0.308351	98	0	0	0	0
210	13.548	0.308351	102	0	0	0	0
210	13.548	0.308351	106	0	0	0	0
210	13.548	0.308351	110	0	0	0	0
210	13.548	0.308351	114	0	0	0	0
210	13.548	0.308351	118	1.03713855647574	1.03713855647574	0	0
210	13.548	0.308351	122	0	0	0	0
210	13.548	0.308351	126	0	0	0	0
210	13.548	0.308351	130	1.19541215400491	1.19541215400491	0	0
210	13.548	0.308351	134	0	0	0	0
210	13.548	0.308351	138	1.36854999936034	1.36854999936034	0	0
210	13.548	0.308351	142	1.48740603867965	1.48740603867965	0	0
210	13.548	0.308351	146	1.637607478761	1.637607478761	3.275214957522	2.31592087253859
210	13.548	0.308351	150	0	0	0	0
210	13.548	0.308351	154	2.08895625851114	2.08895625851114	0	0
210	13.548	0.308351	158	2.4445322540905	2.4445322540905	0	0
210	13.548	0.308351	162	0	0	0	0
210	13.548	0.308351	166	0	0	0	0
210	13.548	0.308351	170	0	0	0	0
210	13.548	0.308351	174	0	0	0	0

