#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
150	20.1965	0.346328	2	0	0	0	0
150	20.1965	0.346328	6	0	0	0	0
150	20.1965	0.346328	10	0	0	0	0
150	20.1965	0.346328	14	0	0	0	0
150	20.1965	0.346328	18	26.6705540878995	8.89018469596651	0	0
150	20.1965	0.346328	22	122.226810429497	17.285486648474	26.8898982944893	8.10759768013355
150	20.1965	0.346328	26	123.248584412159	16.0456078670756	27.1564677518317	7.53184633097053
150	20.1965	0.346328	30	130.034991008734	15.4323146406795	25.6407024524264	6.8527707670104
150	20.1965	0.346328	34	140.834379639963	15.186564182753	39.3026175739432	8.02261406009984
150	20.1965	0.346328	38	117.505175355366	13.2203585385039	35.6977747915035	7.28677853116998
150	20.1965	0.346328	42	124.538140342094	13.0551416549227	34.2137748192565	6.84275496385131
150	20.1965	0.346328	46	101.84220006168	11.3863016843211	29.2796325177331	6.10522347902261
150	20.1965	0.346328	50	63.3568789088602	8.70273674930533	10.7587152864102	3.58623842880341
150	20.1965	0.346328	54	24.9021533807066	5.3091617390879	7.92341243931573	2.99476692304565
150	20.1965	0.346328	58	7.55874021330416	2.85693384562136	2.15964006094405	1.52709228529384
150	20.1965	0.346328	62	8.29711133521561	2.93347482673299	0	0
150	20.1965	0.346328	66	4.00960582999398	2.00480291499699	0	0
150	20.1965	0.346328	70	1.94901878547147	1.37816092830081	0	0
150	20.1965	0.346328	74	0	0	0	0
150	20.1965	0.346328	78	0	0	0	0
150	20.1965	0.346328	82	0	0	0	0
150	20.1965	0.346328	86	0	0	0	0
150	20.1965	0.346328	90	0.915739200523746	0.915739200523746	0	0
150	20.1965	0.346328	94	0.917975320410722	0.917975320410722	0.917975320410722	0.917975320410722
150	20.1965	0.346328	98	0	0	0	0
150	20.1965	0.346328	102	0	0	0	0
150	20.1965	0.346328	106	0	0	0	0
150	20.1965	0.346328	110	0	0	0	0
150	20.1965	0.346328	114	0	0	0	0
150	20.1965	0.346328	118	0	0	0	0
150	20.1965	0.346328	122	0	0	0	0
150	20.1965	0.346328	126	1.13191552525711	1.13191552525711	0	0
150	20.1965	0.346328	130	0	0	0	0
150	20.1965	0.346328	134	0	0	0	0
150	20.1965	0.346328	138	0	0	0	0
150	20.1965	0.346328	142	0	0	0	0
150	20.1965	0.346328	146	3.275214957522	2.31592087253859	1.637607478761	1.637607478761
150	20.1965	0.346328	150	0	0	0	0
150	20.1965	0.346328	154	0	0	0	0
150	20.1965	0.346328	158	0	0	0	0
150	20.1965	0.346328	162	0	0	0	0
150	20.1965	0.346328	166	0	0	0	0
150	20.1965	0.346328	170	0	0	0	0
150	20.1965	0.346328	174	0	0	0	0

