#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
260	8.60035	0.26226	2	0	0	0	0
260	8.60035	0.26226	6	0	0	0	0
260	8.60035	0.26226	10	0	0	0	0
260	8.60035	0.26226	14	0	0	0	0
260	8.60035	0.26226	18	0	0	0	0
260	8.60035	0.26226	22	4.88907241717987	3.45708755154997	0	0
260	8.60035	0.26226	26	150.405052163991	17.725402514251	4.17791811566642	2.9542267891783
260	8.60035	0.26226	30	201.462662126207	19.2087322422352	18.3147874660188	5.7916486108042
260	8.60035	0.26226	34	167.036124689259	16.539032757835	29.4769631804574	6.94778572599643
260	8.60035	0.26226	38	77.3451787149242	10.7258426582921	13.3866655468138	4.46222184893793
260	8.60035	0.26226	42	43.7936317686484	7.74168768345246	2.73710198554052	1.93541849948563
260	8.60035	0.26226	46	12.73027500771	4.02566940513813	1.273027500771	1.273027500771
260	8.60035	0.26226	50	4.78165123840455	2.39082561920227	0	0
260	8.60035	0.26226	54	7.92341243931573	2.99476692304565	0	0
260	8.60035	0.26226	58	7.55874021330416	2.85693384562136	0	0
260	8.60035	0.26226	62	3.11141675070586	1.79637646102003	0	0
260	8.60035	0.26226	66	3.00720437249549	1.73620944446027	0	0
260	8.60035	0.26226	70	0	0	0	0
260	8.60035	0.26226	74	0	0	0	0
260	8.60035	0.26226	78	1.87239483072889	1.32397974678255	0	0
260	8.60035	0.26226	82	0	0	0	0
260	8.60035	0.26226	86	0.917975362365351	0.917975362365351	0	0
260	8.60035	0.26226	90	2.74721760157124	1.58610608226716	0	0
260	8.60035	0.26226	94	0	0	0	0
260	8.60035	0.26226	98	0	0	0	0
260	8.60035	0.26226	102	0	0	0	0
260	8.60035	0.26226	106	0	0	0	0
260	8.60035	0.26226	110	0	0	0	0
260	8.60035	0.26226	114	0	0	0	0
260	8.60035	0.26226	118	1.03713855647574	1.03713855647574	1.03713855647574	1.03713855647574
260	8.60035	0.26226	122	0	0	0	0
260	8.60035	0.26226	126	0	0	0	0
260	8.60035	0.26226	130	0	0	0	0
260	8.60035	0.26226	134	0	0	0	0
260	8.60035	0.26226	138	4.10564999808103	2.37039702639208	0	0
260	8.60035	0.26226	142	2.9748120773593	2.10350449396114	1.48740603867965	1.48740603867965
260	8.60035	0.26226	146	0	0	0	0
260	8.60035	0.26226	150	1.83147667327725	1.83147667327725	0	0
260	8.60035	0.26226	154	2.08895625851114	2.08895625851114	0	0
260	8.60035	0.26226	158	0	0	0	0
260	8.60035	0.26226	162	2.96338893767186	2.96338893767186	0	0
260	8.60035	0.26226	166	0	0	0	0
260	8.60035	0.26226	170	0	0	0	0
260	8.60035	0.26226	174	0	0	0	0

