#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
70	30.0893	0.342507	2	0	0	0	0
70	30.0893	0.342507	6	0	0	0	0
70	30.0893	0.342507	10	0	0	0	0
70	30.0893	0.342507	14	30.2821498636569	10.7063676423579	0	0
70	30.0893	0.342507	18	213.364432703196	25.1452354656636	5.92678979731101	4.1908626996276
70	30.0893	0.342507	22	330.012388159641	28.4030662076064	29.3344345030792	8.46811788017639
70	30.0893	0.342507	26	340.500326426813	26.6699491872624	43.8681402144974	9.57282199924531
70	30.0893	0.342507	30	307.688429429116	23.7387117740803	38.4610536786395	8.39289787460286
70	30.0893	0.342507	34	221.07722385343	19.0273797329852	24.5641359837145	6.34242715881377
70	30.0893	0.342507	38	133.866655468138	14.1107800343866	16.3614801127724	4.93316474287484
70	30.0893	0.342507	42	95.7985694939183	11.4501187361117	6.84275496385131	3.0601758184038
70	30.0893	0.342507	46	50.9211000308402	8.05133881027626	6.36513750385502	2.84657860364902
70	30.0893	0.342507	50	44.2302739552421	7.27140922172941	2.39082561920227	1.69056474946602
70	30.0893	0.342507	54	38.4851461338192	6.60014596614686	2.26383212551878	1.60076701511496
70	30.0893	0.342507	58	33.4744209446327	6.01217877286091	3.23946009141607	1.87030228377907
70	30.0893	0.342507	62	18.6685005042351	4.4002070544049	1.03713891690195	1.03713891690195
70	30.0893	0.342507	66	11.0264160324835	3.32458472196866	0	0
70	30.0893	0.342507	70	8.77058453462163	2.92352817820721	0	0
70	30.0893	0.342507	74	2.85792914130108	1.65002538973018	0	0
70	30.0893	0.342507	78	0	0	0	0
70	30.0893	0.342507	82	0.924738732621215	0.924738732621215	0	0
70	30.0893	0.342507	86	1.8359507247307	1.2982099372107	0	0
70	30.0893	0.342507	90	0	0	0	0
70	30.0893	0.342507	94	0	0	0	0
70	30.0893	0.342507	98	0	0	0	0
70	30.0893	0.342507	102	0.936197285303443	0.936197285303443	0	0
70	30.0893	0.342507	106	0	0	0	0
70	30.0893	0.342507	110	0	0	0	0
70	30.0893	0.342507	114	0	0	0	0
70	30.0893	0.342507	118	0	0	0	0
70	30.0893	0.342507	122	0	0	0	0
70	30.0893	0.342507	126	0	0	0	0
70	30.0893	0.342507	130	0	0	0	0
70	30.0893	0.342507	134	0	0	0	0
70	30.0893	0.342507	138	0	0	0	0
70	30.0893	0.342507	142	0	0	0	0
70	30.0893	0.342507	146	0	0	0	0
70	30.0893	0.342507	150	0	0	0	0
70	30.0893	0.342507	154	0	0	0	0
70	30.0893	0.342507	158	0	0	0	0
70	30.0893	0.342507	162	0	0	0	0
70	30.0893	0.342507	166	0	0	0	0
70	30.0893	0.342507	170	0	0	0	0
70	30.0893	0.342507	174	0	0	0	0

