##				Inclusive		Exclusive	
##Ebeam	dE	Ecm	dEcm	Xsec[mb]	dXsec	Xsec[mb]	dXsec
30.0893	0.342507	5.73129523809524	0.065239428571429	412.85140562249	12.8764815597441	40.1606425702811	4.01606425702811
28.8581	0.359165	5.49678095238095	0.068412380952381	328.915662650602	11.4932433905656	43.7751004016064	4.19289418028536
27.5882	0.369624	5.25489523809524	0.070404571428572	273.895582329317	10.4880039013659	42.9718875502008	4.15424916979462
26.3355	0.359689	5.01628571428571	0.068512190476191	256.626506024096	10.1519876785257	50.6024096385542	4.50802094792041
25.1179	0.362749	4.7843619047619	0.069095047619048	244.979919678715	9.91894701624777	54.6184738955823	4.68349549786771
23.8098	0.361004	4.5352	0.068762666666667	272.289156626506	10.4572020612783	59.4377510040161	4.88575303638411
22.6076	0.35214	4.30620952380952	0.067074285714286	265.060240963855	10.317455886478	56.6265060240964	4.76881208314776
21.3949	0.344723	4.07521904761905	0.065661523809524	243.775100401606	9.89452610020475	61.4457831325301	4.96759713929839
20.1965	0.346328	3.84695238095238	0.065967238095238	251.40562248996	10.0481895608006	61.8473895582329	4.98380467710476
19.0235	0.324321	3.62352380952381	0.061775428571429	297.991967871486	10.9396292946797	70.6827309236948	5.32791130980787
17.899	0.321211	3.40933333333333	0.061183047619048	318.072289156626	11.3022066501769	70.281124497992	5.31275363667588
16.8069	0.317452	3.20131428571429	0.060467047619048	293.172690763052	10.8508081012902	67.4698795180723	5.20541421558864
15.7342	0.316411	2.99699047619048	0.060268761904762	287.951807228916	10.7537573003983	56.6265060240964	4.76881208314776
14.6401	0.29942	2.78859047619048	0.057032380952381	309.638554216867	11.1513601421003	61.4457831325301	4.96759713929839
13.548	0.308351	2.58057142857143	0.058733523809524	287.14859437751	10.7387485599365	47.7911646586345	4.3810088813798
12.5509	0.284413	2.39064761904762	0.054173904761905	270.682730923695	10.4263092254997	44.578313253012	4.2311862461256
11.5451	0.291866	2.19906666666667	0.055593523809524	265.461847389558	10.3252691824759	40.5622489959839	4.03609462695618
10.5697	0.288579	2.01327619047619	0.054967428571429	223.293172690763	9.46973985747116	29.3172690763052	3.43132680534841
9.55578	0.280603	1.82014857142857	0.053448190476191	206.425702811245	9.10504742871858	18.8755020080321	2.7532749399201
8.60035	0.26226	1.63816190476191	0.049954285714286	168.273092369478	8.22067851022439	17.6706827309237	2.66395565490394
7.68525	0.267816	1.46385714285714	0.051012571428572	134.136546184739	7.33962525401489	11.2449799196787	2.12510145467035
6.74368	0.272674	1.28451047619048	0.051937904761905	106.827309236948	6.55000258244983	10.4417670682731	2.04779900144289
5.83441	0.277735	1.11131619047619	0.052901904761905	87.14859437751	5.91603207335592	5.22088353413655	1.4480125604273
4.94119	0.26386	0.941179047619048	0.050259047619048	56.2248995983936	4.7518713117266	5.22088353413655	1.4480125604273

