#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
120	23.8098	0.361004	2	0	0	0	0
120	23.8098	0.361004	6	0	0	0	0
120	23.8098	0.361004	10	0	0	0	0
120	23.8098	0.361004	14	11.3558061988713	6.55627470891836	3.78526873295711	3.78526873295711
120	23.8098	0.361004	18	88.9018469596651	16.2311954407629	8.89018469596651	5.13274813421627
120	23.8098	0.361004	22	183.340215644245	21.170294700441	26.8898982944893	8.10759768013355
120	23.8098	0.361004	26	154.582970279658	17.9699151719704	35.5123039831646	8.61300798094268
120	23.8098	0.361004	30	141.023863488345	16.0711527422817	27.4721811990282	7.09328055601416
120	23.8098	0.361004	34	119.545461787411	13.9917318563238	40.9402266395241	8.18804532790483
120	23.8098	0.361004	38	92.2192515447173	11.7118598202519	29.7481456595862	6.6518936065031
120	23.8098	0.361004	42	94.4300185011481	11.3680330475653	16.4226119132431	4.74079749405547
120	23.8098	0.361004	46	82.7467875501153	10.263478698366	16.5493575100231	4.58996430540489
120	23.8098	0.361004	50	82.4834838624784	9.92983995248899	23.9082561920227	5.34605344232963
120	23.8098	0.361004	54	49.8043067614131	7.50828222329872	9.05532850207512	3.20154534939054
120	23.8098	0.361004	58	10.7982003047202	3.41469328596107	1.07982003047202	1.07982003047202
120	23.8098	0.361004	62	11.4085280859215	3.43979567457535	0	0
120	23.8098	0.361004	66	3.00720437249549	1.73620944446027	0	0
120	23.8098	0.361004	70	5.84705635641442	2.38705101241226	0	0
120	23.8098	0.361004	74	0.952643047100359	0.952643047100359	0	0
120	23.8098	0.361004	78	0	0	0.936197415364447	0.936197415364447
120	23.8098	0.361004	82	0	0	0	0
120	23.8098	0.361004	86	0	0	0	0
120	23.8098	0.361004	90	2.74721760157124	1.58610608226716	0	0
120	23.8098	0.361004	94	0.917975320410722	0.917975320410722	0.917975320410722	0.917975320410722
120	23.8098	0.361004	98	0	0	0	0
120	23.8098	0.361004	102	0	0	0	0
120	23.8098	0.361004	106	0	0	0	0
120	23.8098	0.361004	110	0	0	0	0
120	23.8098	0.361004	114	2.00480233160574	1.41760575269008	0	0
120	23.8098	0.361004	118	0	0	0	0
120	23.8098	0.361004	122	0	0	0	0
120	23.8098	0.361004	126	0	0	0	0
120	23.8098	0.361004	130	0	0	0	0
120	23.8098	0.361004	134	0	0	0	0
120	23.8098	0.361004	138	0	0	0	0
120	23.8098	0.361004	142	0	0	0	0
120	23.8098	0.361004	146	0	0	0	0
120	23.8098	0.361004	150	0	0	0	0
120	23.8098	0.361004	154	0	0	0	0
120	23.8098	0.361004	158	0	0	0	0
120	23.8098	0.361004	162	0	0	0	0
120	23.8098	0.361004	166	0	0	0	0
120	23.8098	0.361004	170	0	0	0	0
120	23.8098	0.361004	174	0	0	0	0

