#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
250	9.55578	0.280603	2	0	0	0	0
250	9.55578	0.280603	6	0	0	0	0
250	9.55578	0.280603	10	0	0	0	0
250	9.55578	0.280603	14	0	0	0	0
250	9.55578	0.280603	18	0	0	0	0
250	9.55578	0.280603	22	19.5562896687195	6.91419954846203	0	0
250	9.55578	0.280603	26	150.405052163991	17.725402514251	12.5337543469993	5.11688432257187
250	9.55578	0.280603	30	208.788577112615	19.554881725343	14.6518299728151	5.18020943125116
250	9.55578	0.280603	34	188.325042541811	17.5613920974772	1.63760906558097	1.63760906558097
250	9.55578	0.280603	38	130.891840902179	13.9531148623908	17.8488873957517	5.15252756896863
250	9.55578	0.280603	42	68.4275496385131	9.67711986844802	10.9484079421621	3.87085068448119
250	9.55578	0.280603	46	21.6414675131071	5.24883241870393	0	0
250	9.55578	0.280603	50	3.58623842880341	2.07051475686965	1.19541280960114	1.19541280960114
250	9.55578	0.280603	54	9.05532850207512	3.20154534939054	1.13191606275939	1.13191606275939
250	9.55578	0.280603	58	8.63856024377619	3.05419536878798	2.15964006094405	1.52709228529384
250	9.55578	0.280603	62	6.22283350141171	2.54046140556216	0	0
250	9.55578	0.280603	66	1.0024014574985	1.0024014574985	0	0
250	9.55578	0.280603	70	0	0	0	0
250	9.55578	0.280603	74	0	0	0	0
250	9.55578	0.280603	78	0.936197415364447	0.936197415364447	0	0
250	9.55578	0.280603	82	0	0	0.924738732621215	0.924738732621215
250	9.55578	0.280603	86	0.917975362365351	0.917975362365351	0.917975362365351	0.917975362365351
250	9.55578	0.280603	90	0.915739200523746	0.915739200523746	0	0
250	9.55578	0.280603	94	0.917975320410722	0.917975320410722	0.917975320410722	0.917975320410722
250	9.55578	0.280603	98	0	0	0	0
250	9.55578	0.280603	102	0	0	0	0
250	9.55578	0.280603	106	0	0	0	0
250	9.55578	0.280603	110	0	0	0	0
250	9.55578	0.280603	114	0	0	0	0
250	9.55578	0.280603	118	0	0	0	0
250	9.55578	0.280603	122	0	0	0	0
250	9.55578	0.280603	126	1.13191552525711	1.13191552525711	0	0
250	9.55578	0.280603	130	0	0	0	0
250	9.55578	0.280603	134	3.81908009184589	2.20494589102722	0	0
250	9.55578	0.280603	138	2.73709999872068	1.93541709459539	1.36854999936034	1.36854999936034
250	9.55578	0.280603	142	1.48740603867965	1.48740603867965	0	0
250	9.55578	0.280603	146	3.275214957522	2.31592087253859	0	0
250	9.55578	0.280603	150	5.49443001983176	3.17220917194987	0	0
250	9.55578	0.280603	154	6.26686877553341	3.61817668755422	2.08895625851114	2.08895625851114
250	9.55578	0.280603	158	9.778129016362	4.889064508181	4.889064508181	3.45708195905733
250	9.55578	0.280603	162	0	0	0	0
250	9.55578	0.280603	166	0	0	0	0
250	9.55578	0.280603	170	0	0	0	0
250	9.55578	0.280603	174	8.76061569481755	8.76061569481755	8.76061569481755	8.76061569481755

