#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
240	10.5697	0.288579	2	0	0	0	0
240	10.5697	0.288579	6	0	0	0	0
240	10.5697	0.288579	10	0	0	0	0
240	10.5697	0.288579	14	0	0	0	0
240	10.5697	0.288579	18	0	0	0	0
240	10.5697	0.288579	22	36.668043128849	9.46763984514464	0	0
240	10.5697	0.288579	26	194.273192378488	20.1451900180732	10.444795289166	4.6710586804491
240	10.5697	0.288579	30	205.125619619411	19.3825395752877	25.6407024524264	6.8527707670104
240	10.5697	0.288579	34	181.774606279487	17.2533578322414	27.8393541148764	6.75204231438754
240	10.5697	0.288579	38	142.791099166014	14.57355706234	23.798516527669	5.94962913191724
240	10.5697	0.288579	42	69.7961006312834	9.77341111629933	12.3169589349324	4.10565297831079
240	10.5697	0.288579	46	36.9177975223591	6.85545677605198	7.63816500462603	3.11826813286357
240	10.5697	0.288579	50	7.17247685760682	2.92815172298989	1.19541280960114	1.19541280960114
240	10.5697	0.288579	54	9.05532850207512	3.20154534939054	1.13191606275939	1.13191606275939
240	10.5697	0.288579	58	4.31928012188809	2.15964006094405	0	0
240	10.5697	0.288579	62	7.25997241831366	2.74401028939334	0	0
240	10.5697	0.288579	66	0	0	0	0
240	10.5697	0.288579	70	0	0	0	0
240	10.5697	0.288579	74	0.952643047100359	0.952643047100359	0	0
240	10.5697	0.288579	78	0	0	0	0
240	10.5697	0.288579	82	0	0	0.924738732621215	0.924738732621215
240	10.5697	0.288579	86	0.917975362365351	0.917975362365351	0.917975362365351	0.917975362365351
240	10.5697	0.288579	90	2.74721760157124	1.58610608226716	0.915739200523746	0.915739200523746
240	10.5697	0.288579	94	0	0	0	0
240	10.5697	0.288579	98	0	0	0	0
240	10.5697	0.288579	102	0.936197285303443	0.936197285303443	0	0
240	10.5697	0.288579	106	0.952642868561907	0.952642868561907	0	0
240	10.5697	0.288579	110	0.974509160912474	0.974509160912474	0	0
240	10.5697	0.288579	114	0	0	0	0
240	10.5697	0.288579	118	0	0	0	0
240	10.5697	0.288579	122	1.07981958946484	1.07981958946484	0	0
240	10.5697	0.288579	126	2.26383105051423	1.60076625497386	0	0
240	10.5697	0.288579	130	1.19541215400491	1.19541215400491	0	0
240	10.5697	0.288579	134	1.27302669728196	1.27302669728196	1.27302669728196	1.27302669728196
240	10.5697	0.288579	138	0	0	0	0
240	10.5697	0.288579	142	0	0	0	0
240	10.5697	0.288579	146	3.275214957522	2.31592087253859	0	0
240	10.5697	0.288579	150	5.49443001983176	3.17220917194987	0	0
240	10.5697	0.288579	154	2.08895625851114	2.08895625851114	0	0
240	10.5697	0.288579	158	7.3335967622715	4.23405209069745	0	0
240	10.5697	0.288579	162	0	0	0	0
240	10.5697	0.288579	166	3.78525881025762	3.78525881025762	0	0
240	10.5697	0.288579	170	0	0	0	0
240	10.5697	0.288579	174	8.76061569481755	8.76061569481755	0	0

