#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
180	16.8069	0.317452	2	0	0	0	0
180	16.8069	0.317452	6	0	0	0	0
180	16.8069	0.317452	10	0	0	0	0
180	16.8069	0.317452	14	0	0	0	0
180	16.8069	0.317452	18	17.780369391933	7.25880617030767	2.9633948986555	2.9633948986555
180	16.8069	0.317452	22	110.004129386547	16.398437794463	14.6672172515396	5.98786699757896
180	16.8069	0.317452	26	158.760888395324	18.2111272743784	27.1564677518317	7.53184633097053
180	16.8069	0.317452	30	208.788577112615	19.554881725343	45.7869686650471	9.15739373300942
180	16.8069	0.317452	34	181.774606279487	17.2533578322414	49.128271967429	8.96956150227203
180	16.8069	0.317452	38	190.388132221352	16.828079777443	52.0592549042759	8.79962047868824
180	16.8069	0.317452	42	134.117997291486	13.5479568674193	38.3194277975673	7.24168757824384
180	16.8069	0.317452	46	84.0198150508863	10.3421263373637	21.6414675131071	5.24883241870393
180	16.8069	0.317452	50	44.2302739552421	7.27140922172941	10.7587152864102	3.58623842880341
180	16.8069	0.317452	54	20.374489129669	4.8023123645055	2.26383212551878	1.60076701511496
180	16.8069	0.317452	58	3.23946009141607	1.87030228377907	0	0
180	16.8069	0.317452	62	6.22283350141171	2.54046140556216	0	0
180	16.8069	0.317452	66	3.00720437249549	1.73620944446027	0	0
180	16.8069	0.317452	70	3.89803757094295	1.94901878547147	0	0
180	16.8069	0.317452	74	0	0	0.952643047100359	0.952643047100359
180	16.8069	0.317452	78	0	0	0	0
180	16.8069	0.317452	82	0	0	0	0
180	16.8069	0.317452	86	0	0	0	0
180	16.8069	0.317452	90	4.57869600261873	2.04765695411513	0.915739200523746	0.915739200523746
180	16.8069	0.317452	94	0	0	0	0
180	16.8069	0.317452	98	0	0	0	0
180	16.8069	0.317452	102	0	0	0	0
180	16.8069	0.317452	106	0.952642868561907	0.952642868561907	0	0
180	16.8069	0.317452	110	0	0	0	0
180	16.8069	0.317452	114	0	0	0	0
180	16.8069	0.317452	118	1.03713855647574	1.03713855647574	0	0
180	16.8069	0.317452	122	0	0	0	0
180	16.8069	0.317452	126	0	0	0	0
180	16.8069	0.317452	130	1.19541215400491	1.19541215400491	0	0
180	16.8069	0.317452	134	2.54605339456393	1.80032708556312	0	0
180	16.8069	0.317452	138	0	0	0	0
180	16.8069	0.317452	142	4.46221811603894	2.57626162929508	0	0
180	16.8069	0.317452	146	0	0	0	0
180	16.8069	0.317452	150	3.66295334655451	2.59009262611542	0	0
180	16.8069	0.317452	154	0	0	0	0
180	16.8069	0.317452	158	0	0	0	0
180	16.8069	0.317452	162	0	0	0	0
180	16.8069	0.317452	166	0	0	0	0
180	16.8069	0.317452	170	0	0	0	0
180	16.8069	0.317452	174	0	0	0	0

