#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
190	15.7342	0.316411	2	0	0	0	0
190	15.7342	0.316411	6	0	0	0	0
190	15.7342	0.316411	10	0	0	0	0
190	15.7342	0.316411	14	0	0	0	0
190	15.7342	0.316411	18	5.92678979731101	4.1908626996276	0	0
190	15.7342	0.316411	22	107.559593177957	16.2152198056292	7.3336086257698	4.2340589400882
190	15.7342	0.316411	26	177.561519915823	19.2592415920556	27.1564677518317	7.53184633097053
190	15.7342	0.316411	30	203.294140872809	19.2959106305735	38.4610536786395	8.39289787460286
190	15.7342	0.316411	34	191.600260672973	17.7135259796696	42.5778357051051	8.35020137757866
190	15.7342	0.316411	38	145.765913731972	14.7245735237809	35.6977747915035	7.28677853116998
190	15.7342	0.316411	42	157.38336416858	14.6760671362697	32.8452238264863	6.70450394256166
190	15.7342	0.316411	46	86.5658700524283	10.4976521071329	22.9144950138781	5.40099739587109
190	15.7342	0.316411	50	47.8165123840455	7.56046003909096	10.7587152864102	3.58623842880341
190	15.7342	0.316411	54	11.3191606275939	3.57943552694276	2.26383212551878	1.60076701511496
190	15.7342	0.316411	58	5.39910015236012	2.41455317553758	0	0
190	15.7342	0.316411	62	3.11141675070586	1.79637646102003	1.03713891690195	1.03713891690195
190	15.7342	0.316411	66	7.01681020248947	2.65210365617665	0	0
190	15.7342	0.316411	70	1.94901878547147	1.37816092830081	0	0
190	15.7342	0.316411	74	0.952643047100359	0.952643047100359	0	0
190	15.7342	0.316411	78	0.936197415364447	0.936197415364447	0	0
190	15.7342	0.316411	82	0	0	0	0
190	15.7342	0.316411	86	0.917975362365351	0.917975362365351	0	0
190	15.7342	0.316411	90	0.915739200523746	0.915739200523746	0	0
190	15.7342	0.316411	94	0.917975320410722	0.917975320410722	0	0
190	15.7342	0.316411	98	0	0	0	0
190	15.7342	0.316411	102	0	0	0	0
190	15.7342	0.316411	106	0	0	0	0
190	15.7342	0.316411	110	0.974509160912474	0.974509160912474	0	0
190	15.7342	0.316411	114	0	0	0	0
190	15.7342	0.316411	118	0	0	0	0
190	15.7342	0.316411	122	1.07981958946484	1.07981958946484	0	0
190	15.7342	0.316411	126	0	0	0	0
190	15.7342	0.316411	130	0	0	0	0
190	15.7342	0.316411	134	1.27302669728196	1.27302669728196	0	0
190	15.7342	0.316411	138	0	0	0	0
190	15.7342	0.316411	142	0	0	0	0
190	15.7342	0.316411	146	3.275214957522	2.31592087253859	0	0
190	15.7342	0.316411	150	0	0	0	0
190	15.7342	0.316411	154	0	0	0	0
190	15.7342	0.316411	158	0	0	0	0
190	15.7342	0.316411	162	0	0	0	0
190	15.7342	0.316411	166	0	0	0	0
190	15.7342	0.316411	170	0	0	0	0
190	15.7342	0.316411	174	0	0	0	0

