#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
220	12.5509	0.284413	2	0	0	0	0
220	12.5509	0.284413	6	0	0	0	0
220	12.5509	0.284413	10	0	0	0	0
220	12.5509	0.284413	14	0	0	0	0
220	12.5509	0.284413	18	2.9633948986555	2.9633948986555	0	0
220	12.5509	0.284413	22	110.004129386547	16.398437794463	7.3336086257698	4.2340589400882
220	12.5509	0.284413	26	208.895905783321	20.8895905783321	33.4233449253313	8.35583623133284
220	12.5509	0.284413	30	245.418152044652	21.2008316749141	38.4610536786395	8.39289787460286
220	12.5509	0.284413	34	212.889178525526	18.6716910439411	31.1145722460383	7.13817415596087
220	12.5509	0.284413	38	165.102208410703	15.6708769112851	28.2607383766069	6.48345960577852
220	12.5509	0.284413	42	97.1671204866886	11.5316159477311	24.6339178698647	5.80626918396682
220	12.5509	0.284413	46	59.8322925362372	8.72743098566073	12.73027500771	4.02566940513813
220	12.5509	0.284413	50	14.3449537152136	4.1410295137393	1.19541280960114	1.19541280960114
220	12.5509	0.284413	54	2.26383212551878	1.60076701511496	0	0
220	12.5509	0.284413	58	5.39910015236012	2.41455317553758	1.07982003047202	1.07982003047202
220	12.5509	0.284413	62	2.0742778338039	1.46673222767191	0	0
220	12.5509	0.284413	66	0	0	1.0024014574985	1.0024014574985
220	12.5509	0.284413	70	0	0	0	0
220	12.5509	0.284413	74	0	0	0	0
220	12.5509	0.284413	78	0	0	0	0
220	12.5509	0.284413	82	0	0	0	0
220	12.5509	0.284413	86	0	0	0	0
220	12.5509	0.284413	90	2.74721760157124	1.58610608226716	0	0
220	12.5509	0.284413	94	0	0	0	0
220	12.5509	0.284413	98	0	0	0	0
220	12.5509	0.284413	102	0	0	0	0
220	12.5509	0.284413	106	0.952642868561907	0.952642868561907	0	0
220	12.5509	0.284413	110	0	0	0.974509160912474	0.974509160912474
220	12.5509	0.284413	114	0	0	0	0
220	12.5509	0.284413	118	0	0	0	0
220	12.5509	0.284413	122	0	0	0	0
220	12.5509	0.284413	126	0	0	0	0
220	12.5509	0.284413	130	2.39082430800982	1.69056382231528	0	0
220	12.5509	0.284413	134	0	0	0	0
220	12.5509	0.284413	138	2.73709999872068	1.93541709459539	0	0
220	12.5509	0.284413	142	0	0	0	0
220	12.5509	0.284413	146	3.275214957522	2.31592087253859	0	0
220	12.5509	0.284413	150	5.49443001983176	3.17220917194987	1.83147667327725	1.83147667327725
220	12.5509	0.284413	154	0	0	0	0
220	12.5509	0.284413	158	2.4445322540905	2.4445322540905	0	0
220	12.5509	0.284413	162	0	0	0	0
220	12.5509	0.284413	166	0	0	0	0
220	12.5509	0.284413	170	0	0	0	0
220	12.5509	0.284413	174	0	0	0	0

