#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
280	6.74368	0.272674	2	0	0	0	0
280	6.74368	0.272674	6	0	0	0	0
280	6.74368	0.272674	10	0	0	0	0
280	6.74368	0.272674	14	0	0	0	0
280	6.74368	0.272674	18	0	0	0	0
280	6.74368	0.272674	22	2.44453620858993	2.44453620858993	0	0
280	6.74368	0.272674	26	60.5798126771631	11.2493787598811	6.26687717349963	3.61818153612001
280	6.74368	0.272674	30	157.507172207762	16.9844379340622	7.32591498640753	3.66295749320377
280	6.74368	0.272674	34	99.8941530004389	12.7901362044537	6.55043626232386	3.27521813116193
280	6.74368	0.272674	38	49.0844403383173	8.54450038151163	4.46222184893793	2.57626378448432
280	6.74368	0.272674	42	8.21130595662157	3.35225197128083	4.10565297831079	2.37039874702773
280	6.74368	0.272674	46	12.73027500771	4.02566940513813	1.273027500771	1.273027500771
280	6.74368	0.272674	50	3.58623842880341	2.07051475686965	1.19541280960114	1.19541280960114
280	6.74368	0.272674	54	9.05532850207512	3.20154534939054	0	0
280	6.74368	0.272674	58	7.55874021330416	2.85693384562136	0	0
280	6.74368	0.272674	62	3.11141675070586	1.79637646102003	1.03713891690195	1.03713891690195
280	6.74368	0.272674	66	4.00960582999398	2.00480291499699	1.0024014574985	1.0024014574985
280	6.74368	0.272674	70	0	0	0	0
280	6.74368	0.272674	74	0	0	0	0
280	6.74368	0.272674	78	0.936197415364447	0.936197415364447	0.936197415364447	0.936197415364447
280	6.74368	0.272674	82	0	0	0	0
280	6.74368	0.272674	86	3.6719014494614	1.8359507247307	0	0
280	6.74368	0.272674	90	1.83147840104749	1.29504753477269	1.83147840104749	1.29504753477269
280	6.74368	0.272674	94	0.917975320410722	0.917975320410722	0	0
280	6.74368	0.272674	98	0	0	0	0
280	6.74368	0.272674	102	0	0	0	0
280	6.74368	0.272674	106	0	0	0	0
280	6.74368	0.272674	110	0	0	0.974509160912474	0.974509160912474
280	6.74368	0.272674	114	0	0	0	0
280	6.74368	0.272674	118	0	0	0	0
280	6.74368	0.272674	122	0	0	0	0
280	6.74368	0.272674	126	1.13191552525711	1.13191552525711	0	0
280	6.74368	0.272674	130	0	0	0	0
280	6.74368	0.272674	134	1.27302669728196	1.27302669728196	0	0
280	6.74368	0.272674	138	0	0	0	0
280	6.74368	0.272674	142	1.48740603867965	1.48740603867965	1.48740603867965	1.48740603867965
280	6.74368	0.272674	146	1.637607478761	1.637607478761	0	0
280	6.74368	0.272674	150	0	0	0	0
280	6.74368	0.272674	154	2.08895625851114	2.08895625851114	0	0
280	6.74368	0.272674	158	0	0	0	0
280	6.74368	0.272674	162	0	0	0	0
280	6.74368	0.272674	166	3.78525881025762	3.78525881025762	0	0
280	6.74368	0.272674	170	5.27351341690538	5.27351341690538	0	0
280	6.74368	0.272674	174	0	0	0	0

