0.018	89.991	2.22601e-07
0.036	89.982	8.90417e-07
0.054	89.973	2.00344e-06
0.072	89.964	3.56168e-06
0.09	89.955	5.56513e-06
0.108	89.946	8.01379e-06
0.126	89.937	1.09077e-05
0.144	89.928	1.42467e-05
0.162	89.919	1.8031e-05
0.18	89.9099	2.22605e-05
0.198	89.9009	2.69352e-05
0.216	89.8919	3.20552e-05
0.234	89.8829	3.76203e-05
0.252	89.8739	4.36306e-05
0.27	89.8649	5.00861e-05
0.288	89.8559	5.69869e-05
0.306	89.8469	6.43328e-05
0.324	89.8379	7.2124e-05
0.342	89.8289	8.03604e-05
0.36	89.8199	8.90419e-05
0.378	89.8109	9.81687e-05
0.396	89.8019	0.000107741
0.414	89.7929	0.000117758
0.432	89.7839	0.00012822
0.45	89.7749	0.000139128
0.468	89.7659	0.000150481
0.486	89.7569	0.000162278
0.504	89.7478	0.000174522
0.522	89.7388	0.00018721
0.54	89.7298	0.000200343
0.558	89.7208	0.000213922
0.576	89.7118	0.000227946
0.594	89.7028	0.000242415
0.612	89.6938	0.00025733
0.63	89.6848	0.000272689
0.648	89.6758	0.000288494
0.666	89.6668	0.000304744
0.684	89.6578	0.000321439
0.702	89.6488	0.000338579
0.72	89.6398	0.000356164
0.738	89.6308	0.000374195
0.756	89.6218	0.00039267
0.774	89.6128	0.000411591
0.792	89.6038	0.000430957
0.81	89.5948	0.000450769
0.828	89.5857	0.000471025
0.846	89.5767	0.000491727
0.864	89.5677	0.000512873
0.882	89.5587	0.000534465
0.9	89.5497	0.000556502
0.918	89.5407	0.000578985
0.936	89.5317	0.000601912
0.954	89.5227	0.000625284
0.972	89.5137	0.000649102
0.99	89.5047	0.000673365
1.008	89.4957	0.000698073
1.026	89.4867	0.000723226
1.044	89.4777	0.000748824
1.062	89.4687	0.000774868
1.08	89.4597	0.000801356
1.098	89.4507	0.00082829
1.116	89.4417	0.000855669
1.134	89.4327	0.000883493
1.152	89.4237	0.000911762
1.17	89.4146	0.000940476
1.188	89.4056	0.000969635
1.206	89.3966	0.000999239
1.224	89.3876	0.00102929
1.242	89.3786	0.00105978
1.26	89.3696	0.00109072
1.278	89.3606	0.00112211
1.296	89.3516	0.00115394
1.314	89.3426	0.00118621
1.332	89.3336	0.00121893
1.35	89.3246	0.0012521
1.368	89.3156	0.00128571
1.386	89.3066	0.00131976
1.404	89.2976	0.00135426
1.422	89.2886	0.00138921
1.44	89.2796	0.0014246
1.458	89.2706	0.00146044
1.476	89.2616	0.00149672
1.494	89.2525	0.00153344
1.512	89.2435	0.00157061
1.53	89.2345	0.00160823
1.548	89.2255	0.00164629
1.566	89.2165	0.0016848
1.584	89.2075	0.00172375
1.602	89.1985	0.00176314
1.62	89.1895	0.00180298
1.638	89.1805	0.00184327
1.656	89.1715	0.001884
1.674	89.1625	0.00192518
1.692	89.1535	0.0019668
1.71	89.1445	0.00200887
1.728	89.1355	0.00205138
1.746	89.1265	0.00209433
1.764	89.1175	0.00213773
1.782	89.1085	0.00218158
1.8	89.0995	0.00222587
1.818	89.0905	0.00227061
1.836	89.0814	0.00231579
1.854	89.0724	0.00236142
1.872	89.0634	0.00240749
1.89	89.0544	0.002454
1.908	89.0454	0.00250096
1.926	89.0364	0.00254837
1.944	89.0274	0.00259622
1.962	89.0184	0.00264452
1.98	89.0094	0.00269326
1.998	89.0004	0.00274244
2.016	88.9914	0.00279208
2.034	88.9824	0.00284215
2.052	88.9734	0.00289267
2.07	88.9644	0.00294364
2.088	88.9554	0.00299505
2.106	88.9464	0.0030469
2.124	88.9374	0.0030992
2.142	88.9284	0.00315195
2.16	88.9193	0.00320514
2.178	88.9103	0.00325878
2.196	88.9013	0.00331286
2.214	88.8923	0.00336738
2.232	88.8833	0.00342235
2.25	88.8743	0.00347776
2.268	88.8653	0.00353362
2.286	88.8563	0.00358993
2.304	88.8473	0.00364668
2.322	88.8383	0.00370387
2.34	88.8293	0.00376151
2.358	88.8203	0.00381959
2.376	88.8113	0.00387812
2.394	88.8023	0.0039371
2.412	88.7933	0.00399651
2.43	88.7843	0.00405638
2.448	88.7753	0.00411669
2.466	88.7663	0.00417744
2.484	88.7572	0.00423864
2.502	88.7482	0.00430028
2.52	88.7392	0.00436237
2.538	88.7302	0.0044249
2.556	88.7212	0.00448787
2.574	88.7122	0.00455129
2.592	88.7032	0.00461516
2.61	88.6942	0.00467947
2.628	88.6852	0.00474423
2.646	88.6762	0.00480943
2.664	88.6672	0.00487507
2.682	88.6582	0.00494116
2.7	88.6492	0.0050077
2.718	88.6402	0.00507468
2.736	88.6312	0.0051421
2.754	88.6222	0.00520997
2.772	88.6132	0.00527828
2.79	88.6042	0.00534704
2.808	88.5952	0.00541624
2.826	88.5861	0.00548589
2.844	88.5771	0.00555598
2.862	88.5681	0.00562652
2.88	88.5591	0.0056975
2.898	88.5501	0.00576893
2.916	88.5411	0.0058408
2.934	88.5321	0.00591311
2.952	88.5231	0.00598587
2.97	88.5141	0.00605908
2.988	88.5051	0.00613273
3.006	88.4961	0.00620682
3.024	88.4871	0.00628136
3.042	88.4781	0.00635634
3.06	88.4691	0.00643177
3.078	88.4601	0.00650764
3.096	88.4511	0.00658396
3.114	88.4421	0.00666072
3.132	88.4331	0.00673793
3.15	88.424	0.00681558
3.168	88.415	0.00689367
3.186	88.406	0.00697221
3.204	88.397	0.0070512
3.222	88.388	0.00713062
3.24	88.379	0.0072105
3.258	88.37	0.00729082
3.276	88.361	0.00737158
3.294	88.352	0.00745278
3.312	88.343	0.00753443
3.33	88.334	0.00761653
